cliente_id,nome,cpf,contato
1,Daniela Carvalho,827.613.094-13,daniela_480@dominio.com
10,Benjamin Rocha,147.538.296-00,benjamin_645@dominio.com
100,Larissa da Mata,830.924.165-89,larissa_338@dominio.com
1000,Lucas Gabriel Gonçalves,810.325.746-07,lucas_435@dominio.com
10000,Mariana Araújo,019.756.284-11,mariana_990@dominio.com
1001,Maysa Moraes,078.463.259-65,maysa_407@dominio.com
1002,Rebeca Oliveira,509.324.781-23,rebeca_412@dominio.com
1003,Sra. Clara Nogueira,483.270.695-00,sra._729@dominio.com
1004,Luna Fernandes,408.153.796-84,luna_537@dominio.com
1005,Bryan Teixeira,427.693.508-38,bryan_251@dominio.com
1006,Melissa Monteiro,306.419.852-15,melissa_146@dominio.com
1007,Evelyn Nunes,056.732.198-30,evelyn_352@dominio.com
1008,Camila Nogueira,786.153.490-10,camila_649@dominio.com
1009,Vitor Dias,485.692.307-29,vitor_959@dominio.com
101,Marcela Nunes,420.973.685-65,marcela_146@dominio.com
1010,Isabella Gomes,293.518.076-30,isabella_538@dominio.com
1011,Sra. Melissa Costa,035.682.749-65,sra._316@dominio.com
1012,Milena Dias,547.631.029-07,milena_747@dominio.com
1013,Dra. Cecília Viana,324.579.160-70,dra._929@dominio.com
1014,Daniela Ferreira,384.952.017-04,daniela_828@dominio.com
1015,Guilherme Nascimento,801.392.467-03,guilherme_201@dominio.com
1016,Ana Lívia Caldeira,917.820.346-50,ana_555@dominio.com
1017,Cauã Fogaça,971.023.456-07,cauã_964@dominio.com
1018,Mariana Santos,653.891.074-20,mariana_327@dominio.com
1019,João Pedro Fernandes,928.645.173-37,joão_237@dominio.com
102,Esther Cardoso,137.806.259-03,esther_163@dominio.com
1020,Helena Silveira,152.394.076-06,helena_298@dominio.com
1021,Enzo Gabriel Santos,278.149.653-73,enzo_218@dominio.com
1022,Eloah da Costa,209.817.645-76,eloah_417@dominio.com
1023,Matheus Melo,504.793.812-32,matheus_701@dominio.com
1024,Camila Alves,436.527.981-55,camila_915@dominio.com
1025,João Felipe Lima,960.852.173-40,joão_888@dominio.com
1026,Lucas Gabriel Porto,295.107.346-16,lucas_459@dominio.com
1027,Danilo Santos,830.179.624-31,danilo_410@dominio.com
1028,Joaquim Cavalcanti,045.763.928-83,joaquim_190@dominio.com
1029,Ana Almeida,085.721.649-01,ana_959@dominio.com
103,Maria Alice Rodrigues,605.814.932-06,maria_439@dominio.com
