proprietario_id,nome,cpf_cnpj,contato
1,Dra. Kamilly Almeida,769.328.415-09,dra._399@dominio.com
10,Henrique da Rocha,301.729.654-70,henrique_294@dominio.com
100,Fernanda Vieira,894.361.520-51,fernanda_466@dominio.com
1000,Helena Oliveira,962.704.351-61,helena_489@dominio.com
10000,Eloah Campos,927.140.583-88,eloah_715@dominio.com
1001,Eduarda da Mata,407.956.381-75,eduarda_737@dominio.com
1002,Sr. Bruno Carvalho,816.273.059-12,sr._327@dominio.com
1003,Mirella Cardoso,136.807.542-80,mirella_287@dominio.com
1004,Sra. Lavínia Campos,213.645.807-80,sra._825@dominio.com
1005,Sophia da Mata,485.763.190-39,sophia_456@dominio.com
1006,Sr. Enzo Gabriel Castro,247.016.893-78,sr._351@dominio.com
1007,Ana Lívia Souza,687.409.135-20,ana_388@dominio.com
1008,João Duarte,716.823.450-17,joão_151@dominio.com
1009,Srta. Valentina Barbosa,452.763.089-00,srta._181@dominio.com
101,Pedro Henrique Cavalcanti,269.053.487-83,pedro_603@dominio.com
1010,Daniel Almeida,286.490.715-11,daniel_565@dominio.com
1011,Sr. Vinicius da Rosa,489.065.321-05,sr._128@dominio.com
1012,Levi Correia,427.305.819-79,levi_553@dominio.com
1013,Dr. João Vitor Barros,369.710.542-61,dr._602@dominio.com
1014,Henrique Fernandes,308.715.946-84,henrique_328@dominio.com
1015,Maria Luiza Silva,041.572.963-70,maria_618@dominio.com
1016,Amanda Monteiro,305.491.728-23,amanda_694@dominio.com
1017,Lorena Ramos,541.869.703-00,lorena_816@dominio.com
1018,Breno Rezende,731.986.205-03,breno_924@dominio.com
1019,Sr. Pietro Nogueira,369.218.540-51,sr._734@dominio.com
102,Vicente Cavalcanti,520.743.896-47,vicente_226@dominio.com
1020,Matheus Moura,742.613.089-40,matheus_905@dominio.com
1021,Maria Cecília Rezende,260.483.157-08,maria_657@dominio.com
1022,Julia Barros,843.290.516-05,julia_533@dominio.com
1023,João Carvalho,074.281.365-71,joão_793@dominio.com
1024,Julia Lima,280.596.341-51,julia_428@dominio.com
1025,Luiz Miguel Barbosa,593.628.401-89,luiz_854@dominio.com
1026,Bruno Pinto,275.864.139-91,bruno_848@dominio.com
1027,João Pedro Costela,379.862.145-46,joão_656@dominio.com
1028,Clara Ferreira,128.653.049-06,clara_611@dominio.com
1029,João Miguel Gonçalves,074.518.239-97,joão_598@dominio.com
103,Ana Beatriz das Neves,086.417.392-03,ana_194@dominio.com
1030,Sr. Carlos Eduardo Moreira,238.590.614-70,sr._192@dominio.com
1031,Calebe Melo,743.850.269-47,calebe_947@dominio.com
1032,João Vitor Lopes,518.234.907-60,joão_750@dominio.com
1033,Srta. Julia Correia,126.490.753-25,srta._725@dominio.com
1034,Emanuella Duarte,641.087.925-30,emanuella_683@dominio.com
1035,Ryan da Luz,248.106.375-90,ryan_264@dominio.com
1036,Davi Luiz Teixeira,245.867.319-82,davi_605@dominio.com
1037,Stella Mendes,127.658.309-59,stella_143@dominio.com
1038,João Gabriel Nascimento,342.876.951-19,joão_810@dominio.com
1039,Maria Julia Fernandes,087.356.192-95,maria_337@dominio.com
104,Sra. Caroline Rodrigues,682.459.317-64,sra._880@dominio.com
1040,Isaac Barros,578.601.934-93,isaac_951@dominio.com
1041,Sr. Vitor Hugo Gonçalves,697.028.543-00,sr._241@dominio.com
1042,Ana Sophia Rezende,419.038.756-84,ana_577@dominio.com
1043,Milena Martins,260.194.357-25,milena_964@dominio.com
1044,Amanda da Costa,921.068.473-78,amanda_217@dominio.com
1045,Ana Lívia Carvalho,374.560.129-70,ana_732@dominio.com
1046,Sra. Ana Clara da Mata,416.275.903-07,sra._773@dominio.com
1047,Bianca Moraes,943.187.056-84,bianca_378@dominio.com
